dataset;pretty_name;preprocessA;normalise_by_num_nodes;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
NCI109;NCI-109;['laplacian'];True;50;0.6933333383666145;0.04091544862666372;344.66779494285583;21.675435401335687;[0.662222233083513, 0.7222222288449606, 0.7533333235316806, 0.7155555619133843, 0.5977777772479587, 0.7066666682561239, 0.7044444481531779, 0.6600000129805671, 0.7044444547759162, 0.7066666748788621];[368.84277415275574, 322.99636721611023, 321.92458963394165, 368.43561697006226, 364.47793889045715, 312.0566577911377, 364.11659598350525, 362.5868196487427, 328.1644916534424, 333.0760974884033]
PTC_MM;PTC-MM;['laplacian'];True;50;0.6699086487293243;0.04975232303630153;99.27058532238007;10.517464064560482;[0.7058823704719543, 0.6176470518112183, 0.6470588445663452, 0.7058823704719543, 0.5588235259056091, 0.7352941036224365, 0.6470588445663452, 0.6969696879386902, 0.6969696879386902, 0.6875];[120.54603290557861, 93.36904382705688, 119.8968813419342, 93.3566460609436, 93.578364610672, 94.27604389190674, 92.44069051742554, 95.89530444145203, 95.23211121559143, 94.11473441123962]
PTC_FM;PTC-FM;['laplacian'];True;50;0.6101494073867798;0.0647857005991468;97.68737199306489;1.3115027161564095;[0.6388888955116272, 0.6111111044883728, 0.6388888955116272, 0.5714285969734192, 0.5714285969734192, 0.6285714507102966, 0.529411792755127, 0.7058823704719543, 0.7058823704719543, 0.5];[97.00008702278137, 95.26075005531311, 96.4443302154541, 97.54128193855286, 96.98661279678345, 97.30334568023682, 98.76094055175781, 99.02974224090576, 98.70341634750366, 99.84321308135986]
PTC_MR;PTC-MR;['laplacian'];True;50;0.5813725590705872;0.0505258662522514;101.04352822303773;1.454055826859974;[0.5833333134651184, 0.5833333134651184, 0.529411792755127, 0.5882353186607361, 0.6764705777168274, 0.529411792755127, 0.529411792755127, 0.6176470518112183, 0.529411792755127, 0.6470588445663452];[99.14657998085022, 99.64605212211609, 100.5188536643982, 99.49054646492004, 101.91193675994873, 100.87172937393188, 101.04485082626343, 100.82714748382568, 103.72888398170471, 103.24870157241821]
PTC_FR;PTC-FR;['laplacian'];True;50;0.6553174793720246;0.013901582434286967;104.74640316963196;0.7497886417598484;[0.6388888955116272, 0.6571428775787354, 0.6857143044471741, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6285714507102966];[103.82556772232056, 104.41443085670471, 105.53333926200867, 103.87081909179688, 105.86914801597595, 104.11569476127625, 104.70911359786987, 104.25461912155151, 105.89720034599304, 104.97409892082214]
ENZYMES;ENZYMES;['laplacian'];False;50;0.26599999964237214;0.061514226681002745;128.67147834300994;3.6844505850554707;[0.1900000050663948, 0.14999999850988388, 0.3100000023841858, 0.3100000023841858, 0.2499999925494194, 0.3400000035762787, 0.25999999046325684, 0.3200000077486038, 0.21000000089406967, 0.3199999928474426];[125.1199460029602, 126.1403968334198, 126.53772640228271, 126.84437489509583, 128.20756721496582, 126.58896350860596, 129.0893006324768, 129.13868498802185, 130.3171362876892, 138.7306866645813]
MUTAG;MUTAG;['laplacian'];False;50;0.6954385995864868;0.07341571501849412;107.32257075309754;1.93930629475722;[0.75, 0.699999988079071, 0.75, 0.6315789222717285, 0.7894737124443054, 0.6111111044883728, 0.7777777910232544, 0.6666666865348816, 0.7222222089767456, 0.5555555820465088];[106.55020570755005, 105.33947348594666, 104.063312292099, 107.27933979034424, 106.43021154403687, 107.41863656044006, 109.53235626220703, 106.80235743522644, 108.64812541007996, 111.16168904304504]
NCI1;NCI-1;['laplacian'];False;50;0.7306666711966197;0.024237505497940456;218.8361383676529;2.432658919520302;[0.7377777761883206, 0.7577777836057875, 0.7488888965712653, 0.7444444431198968, 0.7333333359824287, 0.7333333359824287, 0.7022222214274936, 0.7511111232969496, 0.7244444423251681, 0.6733333534664578];[215.55808019638062, 216.85121703147888, 217.3971483707428, 217.46713137626648, 216.79704880714417, 217.44879412651062, 220.78936791419983, 221.61481428146362, 222.36562204360962, 222.0721595287323]
NCI109;NCI-109;['laplacian'];False;50;0.7142222245534262;0.02818282070240626;333.41903975009916;52.55241784495408;[0.7222222222222222, 0.7044444547759162, 0.6911111142900255, 0.7288888891537985, 0.7422222296396891, 0.6888888941870795, 0.768888877497779, 0.6866666807068719, 0.6755555537011888, 0.7333333293596903];[223.94262218475342, 301.0430431365967, 295.9100501537323, 292.3931014537811, 383.43694949150085, 358.2069320678711, 366.3609206676483, 394.2882809638977, 325.7805845737457, 392.8279128074646]
PTC_MM;PTC-MM;['laplacian'];False;50;0.6689895331859589;0.05399559927096962;126.47244384288788;3.067842961157631;[0.7352941036224365, 0.6470588445663452, 0.6470588445663452, 0.6764705777168274, 0.7058823704719543, 0.7058823704719543, 0.6470588445663452, 0.6969696879386902, 0.6969696879386902, 0.53125];[122.77796649932861, 134.638685464859, 123.07504487037659, 126.29405426979065, 126.31813669204712, 126.33903074264526, 125.71599793434143, 126.68483138084412, 125.56148028373718, 127.31921029090881]
PTC_FM;PTC-FM;['laplacian'];False;50;0.5543604224920273;0.07232093270142655;130.0528238773346;1.5092946719138383;[0.5555555820465088, 0.4444444477558136, 0.4444444477558136, 0.5428571701049805, 0.48571428656578064, 0.6000000238418579, 0.6176470518112183, 0.5588235259056091, 0.6470588445663452, 0.6470588445663452];[127.76096367835999, 129.00415754318237, 128.37363243103027, 130.3204836845398, 129.64643788337708, 129.15921020507812, 131.46879291534424, 131.5211157798767, 130.33402490615845, 132.93941974639893]
PTC_MR;PTC-MR;['laplacian'];False;50;0.6017973959445954;0.0631321865850382;134.03059177398683;1.537404210271411;[0.6388888955116272, 0.5555555820465088, 0.7058823704719543, 0.6470588445663452, 0.5, 0.5882353186607361, 0.529411792755127, 0.5588235259056091, 0.6764705777168274, 0.6176470518112183];[132.960200548172, 131.34776163101196, 133.61095476150513, 131.81692004203796, 134.6490068435669, 133.81556487083435, 134.89985251426697, 135.33251309394836, 135.7474181652069, 136.12572526931763]
