dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
MUTAG;20;0.8631286501884461;0.09023322486521457;14.112373495101929;1.1948160948905808;[0.699999988079071, 0.75, 1.0, 0.8421052694320679, 0.8947368264198303, 1.0, 0.8888888955116272, 0.8888888955116272, 0.8333333134651184, 0.8333333134651184];[12.095021724700928, 12.413346767425537, 15.617310047149658, 15.447631597518921, 14.359944820404053, 13.539255142211914, 13.664472579956055, 14.003501653671265, 15.741063356399536, 14.242187261581421]
MUTAG;50;0.8390058517456055;0.06592709168077321;3.4911025047302244;0.14630089636329288;[0.949999988079071, 0.8500000238418579, 0.8999999761581421, 0.7894737124443054, 0.7894737124443054, 0.9444444179534912, 0.7777777910232544, 0.7777777910232544, 0.8333333134651184, 0.7777777910232544];[3.313199758529663, 3.321037769317627, 3.354822874069214, 3.394815683364868, 3.4546058177948, 3.473464250564575, 3.5280184745788574, 3.6659908294677734, 3.6663010120391846, 3.7387685775756836]
MUTAG;100;0.857602334022522;0.09007879068404101;4.318399095535279;0.1621034190961972;[0.8999999761581421, 0.75, 0.8500000238418579, 0.9473684430122375, 0.6842105388641357, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184, 0.9444444179534912, 1.0];[4.086782932281494, 4.070059776306152, 4.245118618011475, 4.225334405899048, 4.334093332290649, 4.317158222198486, 4.320640563964844, 4.508062839508057, 4.552963495254517, 4.5237767696380615]
MUTAG;1;0.8612280701754387;0.08509336610349662;11.821015644073487;2.9283169950786547;[0.85, 0.9, 0.95, 0.7368421052631579, 0.8421052631578947, 1.0, 0.7222222222222222, 0.8333333333333334, 0.9444444444444444, 0.8333333333333334];[10.212616443634033, 10.108177185058594, 10.339686632156372, 9.937442302703857, 10.01132345199585, 9.810479402542114, 9.931609869003296, 18.56430149078369, 15.684839725494385, 13.609679937362671]
dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
NCI1;50;0.6691111167271931;0.030670689203445872;42.54918909072876;0.8230389891151082;[0.6399999989403619, 0.680000000529819, 0.6888888941870795, 0.6955555611186557, 0.6977777745988634, 0.6822222272555033, 0.6266666849454244, 0.6066666775279574, 0.6822222272555033, 0.6911111209127638];[41.935158014297485, 41.836602449417114, 41.60892963409424, 42.16498327255249, 43.684581995010376, 44.367329835891724, 42.61183977127075, 42.29170846939087, 42.189886808395386, 42.80087065696716]
dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
MUTAG;50;0.8312280654907227;0.06565715190506607;3.6267620086669923;0.15978366581160935;[0.699999988079071, 0.8500000238418579, 0.8500000238418579, 0.8421052694320679, 0.7368420958518982, 0.9444444179534912, 0.8888888955116272, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184];[3.4517533779144287, 3.375661849975586, 3.531893491744995, 3.539450168609619, 3.6119956970214844, 3.5853772163391113, 3.650390863418579, 3.782017469406128, 3.8532629013061523, 3.885817050933838]
dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
PTC_MM;50;0.6722983539104461;0.042296179617766494;4.742297029495239;0.133545020732437;[0.6764705777168274, 0.7058823704719543, 0.7058823704719543, 0.6764705777168274, 0.5882353186607361, 0.7058823704719543, 0.6764705777168274, 0.6969696879386902, 0.6969696879386902, 0.59375];[4.579192638397217, 4.591379404067993, 4.633924245834351, 4.622405767440796, 4.68768835067749, 4.8437066078186035, 4.803454637527466, 4.763600587844849, 4.9555344581604, 4.9420835971832275]
PTC_FM;50;0.6078524887561798;0.049540486051388645;5.530134296417236;0.3136219321650364;[0.5555555820465088, 0.5833333134651184, 0.5833333134651184, 0.6000000238418579, 0.6285714507102966, 0.6571428775787354, 0.7058823704719543, 0.529411792755127, 0.6470588445663452, 0.5882353186607361];[5.1251819133758545, 5.872547149658203, 5.114192962646484, 5.225233554840088, 5.558554649353027, 5.578714847564697, 5.38544225692749, 5.541372299194336, 5.777582168579102, 6.122521162033081]
PTC_MR;50;0.5870915114879608;0.046676278370369445;6.188824725151062;0.25085718189467443;[0.5555555820465088, 0.6388888955116272, 0.6176470518112183, 0.5882353186607361, 0.5588235259056091, 0.529411792755127, 0.6176470518112183, 0.6764705777168274, 0.5588235259056091, 0.529411792755127];[5.893881559371948, 6.203155040740967, 5.903345584869385, 6.119889259338379, 6.012182235717773, 6.185526609420776, 6.113853216171265, 6.251024007797241, 6.4122138023376465, 6.793175935745239]
PTC_FR;50;0.6781746208667755;0.03498055784280309;7.103975701332092;0.2179634219636051;[0.6388888955116272, 0.7142857313156128, 0.7142857313156128, 0.6857143044471741, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6285714507102966, 0.6857143044471741, 0.7428571581840515];[7.098868370056152, 6.574555158615112, 7.083211660385132, 7.06961464881897, 6.976332664489746, 7.168076753616333, 7.161028623580933, 7.166041851043701, 7.263707876205444, 7.478319406509399]
dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
PTC_MM;1;0.6736798128342245;0.10361151375069387;25.116361331939697;1.7532091925459197;[0.5882352941176471, 0.6764705882352942, 0.5588235294117647, 0.7647058823529411, 0.5, 0.6470588235294118, 0.7941176470588235, 0.7272727272727273, 0.6363636363636364, 0.84375];[22.665918588638306, 23.428101301193237, 23.108169317245483, 24.295592546463013, 23.98172354698181, 26.090402603149414, 27.409300804138184, 27.554088354110718, 26.973020315170288, 25.65729594230652]
dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
