dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
MUTAG;20;0.7926315844058991;0.06559892160369829;3.7696075201034547;0.5939722354108936;[0.800000011920929, 0.800000011920929, 0.800000011920929, 0.6842105388641357, 0.8421052694320679, 0.8888888955116272, 0.8888888955116272, 0.7777777910232544, 0.7222222089767456, 0.7222222089767456];[3.0098979473114014, 3.06691575050354, 3.227677583694458, 3.3934686183929443, 3.7349398136138916, 3.9683170318603516, 3.9769678115844727, 3.8291327953338623, 4.61334490776062, 4.875412940979004]
MUTAG;50;0.8450877130031585;0.037110964053860544;5.845578289031982;0.22372589303293855;[0.8500000238418579, 0.949999988079071, 0.800000011920929, 0.8421052694320679, 0.8421052694320679, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184];[5.857926607131958, 5.884528160095215, 5.787185907363892, 5.835892677307129, 5.40598464012146, 5.855989694595337, 5.665972471237183, 5.778249502182007, 6.0798561573028564, 6.304197072982788]
MUTAG;100;0.8336842060089111;0.10866221092680825;8.053538870811462;0.40981151127780424;[0.8999999761581421, 0.800000011920929, 0.8999999761581421, 1.0, 0.7368420958518982, 0.6111111044883728, 0.8888888955116272, 0.8888888955116272, 0.7222222089767456, 0.8888888955116272];[7.361830949783325, 7.673067092895508, 7.905591726303101, 7.696845293045044, 7.976662635803223, 8.12810230255127, 8.100784063339233, 8.305463552474976, 8.766993522644043, 8.620047569274902]
NCI1;20;0.6892857122988928;0.02458845011461958;70.45435495376587;1.534225769305926;[0.7452380969410851, 0.683333328792027, 0.6595238134974525, 0.6904761904761905, 0.6952380935351054, 0.6690476139386495, 0.7119047613370986, 0.6999999937557039, 0.6761904756228129, 0.6619047550928026];[68.30219984054565, 71.57862591743469, 72.49625515937805, 68.45555567741394, 68.81309938430786, 69.755042552948, 69.99728441238403, 70.82709813117981, 71.89975953102112, 72.41862893104553]
NCI1;50;0.6848888887299431;0.025968642387808882;48.948122930526736;0.4873486094601834;[0.7155555552906461, 0.6955555611186557, 0.6311111119058397, 0.7266666690508524, 0.6911111076672872, 0.6888888941870795, 0.6955555478731791, 0.6733333335982429, 0.66666665342119, 0.6644444531864591];[49.23077702522278, 49.49470829963684, 48.07646989822388, 49.73323941230774, 48.67196559906006, 48.3699746131897, 48.79826998710632, 49.27578282356262, 48.717886209487915, 49.11215543746948]
NCI1;100;0.6986000013351441;0.020080833751308754;43.984868025779726;0.4877793112458971;[0.6700000166893005, 0.6860000014305114, 0.6919999957084656, 0.706000006198883, 0.6880000114440918, 0.7059999942779541, 0.6959999918937683, 0.7240000009536743, 0.7399999976158143, 0.6779999971389771];[43.660892724990845, 44.2538115978241, 43.54501438140869, 44.01507353782654, 43.97832179069519, 43.46729493141174, 44.38700318336487, 43.378002882003784, 44.08291745185852, 45.080347776412964]
NCI109;20;0.6716666662976856;0.020074973216665667;79.96153521537781;0.9942840205378994;[0.6619047607694354, 0.6857142845789591, 0.6428571400188264, 0.6309523809523809, 0.6857142845789591, 0.6619047636077517, 0.6833333344686598, 0.6904761961528233, 0.685714283159801, 0.6880952346892584];[81.95034074783325, 79.63701868057251, 78.70850467681885, 78.83941626548767, 80.39627528190613, 79.34405851364136, 79.8128092288971, 80.23646712303162, 79.33684492111206, 81.35361671447754]
NCI109;50;0.6660000065962473;0.02537715405951124;54.82684996128082;0.8844048305068881;[0.6800000071525574, 0.666666673289405, 0.6555555595291985, 0.6111111177338494, 0.6822222272555033, 0.666666673289405, 0.6644444465637207, 0.6622222264607748, 0.6533333526717292, 0.7177777820163302];[53.59695315361023, 54.60125923156738, 54.49638223648071, 53.91154718399048, 55.05123329162598, 54.23115158081055, 54.63333177566528, 55.26473617553711, 55.6589629650116, 56.82294201850891]
NCI109;100;0.6678000009059906;0.01998899240224412;53.40534298419952;4.644611928862753;[0.6800000071525574, 0.6240000128746033, 0.6919999957084656, 0.6659999966621399, 0.6539999961853027, 0.6600000023841858, 0.6680000066757202, 0.6839999914169311, 0.6560000061988831, 0.693999993801117];[48.732208490371704, 50.017306089401245, 50.82812476158142, 50.378108739852905, 50.80898928642273, 51.26012873649597, 51.5018036365509, 62.307642459869385, 61.02103304862976, 57.198084592819214]
PTC_MM;20;0.6499999985098839;0.09486832729189913;7.685343956947326;0.8017216614612127;[0.75, 0.45000000298023224, 0.699999988079071, 0.699999988079071, 0.7249999940395355, 0.625, 0.625, 0.550000011920929, 0.5999999940395355, 0.7750000059604645];[6.618077993392944, 7.705519676208496, 6.415515661239624, 6.8971757888793945, 7.515554189682007, 8.782583475112915, 8.272963285446167, 8.378594160079956, 8.678561687469482, 7.58889365196228]
PTC_MM;50;0.66063392162323;0.06207486741827528;6.58669958114624;0.3814649584592048;[0.7647058963775635, 0.6470588445663452, 0.6764705777168274, 0.5882353186607361, 0.7647058963775635, 0.6470588445663452, 0.5588235259056091, 0.6363636255264282, 0.6666666865348816, 0.65625];[6.230419874191284, 5.979759454727173, 6.554780721664429, 6.324641227722168, 6.275656700134277, 6.46787166595459, 6.808196306228638, 6.977737665176392, 7.1236090660095215, 7.124323129653931]
PTC_MM;100;0.6523562848567963;0.06621203366575695;9.380690264701844;0.45001212267860474;[0.6470588445663452, 0.529411792755127, 0.6764705777168274, 0.6764705777168274, 0.6764705777168274, 0.5588235259056091, 0.6764705777168274, 0.6060606241226196, 0.7575757503509521, 0.71875];[8.462348699569702, 9.054288864135742, 9.0299072265625, 9.132079124450684, 9.422993659973145, 9.499876976013184, 9.619730949401855, 9.57686185836792, 9.98572301864624, 10.023092269897461]
PTC_FM;20;0.6050000071525574;0.09137833190119196;11.579162001609802;0.5666906743496289;[0.550000011920929, 0.6000000238418579, 0.675000011920929, 0.7249999940395355, 0.5750000178813934, 0.625, 0.6749999821186066, 0.6500000059604645, 0.6000000238418579, 0.375];[10.595907926559448, 11.014742612838745, 11.031447172164917, 11.174960851669312, 11.76349663734436, 11.717968702316284, 11.762513160705566, 12.063818216323853, 12.293365478515625, 12.373399257659912]
PTC_FM;50;0.593081247806549;0.06006960219420673;12.70240876674652;0.9863083888703661;[0.6666666865348816, 0.5555555820465088, 0.6111111044883728, 0.5428571701049805, 0.5714285969734192, 0.5714285969734192, 0.529411792755127, 0.5588235259056091, 0.7352941036224365, 0.5882353186607361];[11.525299549102783, 11.400891780853271, 12.196341753005981, 12.152198791503906, 12.465944528579712, 12.208553791046143, 13.570757865905762, 13.275278806686401, 14.714476823806763, 13.514343976974487]
PTC_FM;100;0.5989449232816696;0.06722245623431809;17.387827277183533;0.8110412923701248;[0.6388888955116272, 0.5277777910232544, 0.5555555820465088, 0.6000000238418579, 0.6571428775787354, 0.6571428775787354, 0.7058823704719543, 0.6176470518112183, 0.5588235259056091, 0.47058823704719543];[16.69780206680298, 16.07406187057495, 18.343870878219604, 18.62242841720581, 17.56557822227478, 16.34951424598694, 17.758928060531616, 16.929388523101807, 18.0768461227417, 17.45985436439514]
PTC_MR;20;0.5575000017881393;0.09813893214713645;23.673550605773926;2.9035904019349696;[0.5, 0.75, 0.550000011920929, 0.4749999940395355, 0.4000000059604645, 0.625, 0.5, 0.625, 0.5, 0.6500000059604645];[18.788023471832275, 18.872979164123535, 22.63360619544983, 22.70692467689514, 22.7201886177063, 25.165645122528076, 26.032596111297607, 26.231497526168823, 26.20657730102539, 27.37746787071228]
PTC_MR;50;0.5901960879564285;0.08008803106096135;22.702618432044982;1.203813445481777;[0.5277777910232544, 0.6388888955116272, 0.529411792755127, 0.6764705777168274, 0.47058823704719543, 0.5882353186607361, 0.7647058963775635, 0.5882353186607361, 0.5588235259056091, 0.5588235259056091];[25.14211630821228, 21.095954656600952, 23.1001398563385, 21.345171213150024, 21.648441791534424, 21.732727766036987, 23.804954528808594, 23.091395616531372, 22.631166219711304, 23.43411636352539]
PTC_MR;100;0.6014705896377563;0.060455077928169954;27.31266622543335;1.7256671980708442;[0.5555555820465088, 0.6944444179534912, 0.5, 0.5588235259056091, 0.6764705777168274, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.529411792755127, 0.6470588445663452];[25.560667514801025, 26.032641172409058, 25.596691370010376, 25.056488513946533, 26.32107424736023, 28.881359577178955, 30.282938241958618, 27.962673664093018, 28.264249801635742, 29.16787815093994]
PTC_FR;20;0.6274999976158142;0.10274361140282882;33.85961937904358;2.0011427554282974;[0.550000011920929, 0.6499999761581421, 0.7750000059604645, 0.5250000059604645, 0.4749999940395355, 0.7249999940395355, 0.6500000059604645, 0.5, 0.6749999821186066, 0.75];[31.09403896331787, 34.274938344955444, 35.23615288734436, 37.826931953430176, 32.640373945236206, 32.23935914039612, 32.29604387283325, 32.34873628616333, 36.181997537612915, 34.45762085914612]
PTC_FR;50;0.655396842956543;0.062308207535811906;33.781038427352904;1.6513613773920854;[0.6111111044883728, 0.6285714507102966, 0.5428571701049805, 0.6857143044471741, 0.6285714507102966, 0.6000000238418579, 0.7142857313156128, 0.7428571581840515, 0.7428571581840515, 0.6571428775787354];[34.27949047088623, 36.42285656929016, 32.366859912872314, 32.78694200515747, 32.45928430557251, 31.841033935546875, 32.89595007896423, 36.871341705322266, 34.7040638923645, 33.18256139755249]
PTC_FR;100;0.6469047784805297;0.057420458191000466;37.88789999485016;1.3919506549406784;[0.5833333134651184, 0.6000000238418579, 0.6857143044471741, 0.6571428775787354, 0.5714285969734192, 0.6857143044471741, 0.7428571581840515, 0.6857143044471741, 0.5714285969734192, 0.6857143044471741];[36.742878913879395, 35.869115591049194, 38.8831901550293, 38.22393846511841, 36.412808656692505, 36.96471858024597, 37.48581314086914, 38.614049673080444, 38.96461582183838, 40.71787095069885]
