classifier;dataset;pretty_name;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
WLKernel;{};MUTAG;0.6842105263157895;0.0;0.4680434226989746;0.00014450975497425;[0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895];[0.46766161918640137, 0.4681122303009033, 0.4679536819458008, 0.468127965927124, 0.46805524826049805, 0.4679689407348633, 0.4681508541107178, 0.4681122303009033, 0.4681563377380371, 0.46813511848449707]
WLKernel;{'pretty_name': 'NCI-1'};NCI-1;0.5309002433090024;0.02081109954291297;223.97128248214722;0.017618770786312472;[0.5206812652068127, 0.49391727493917276, 0.5693430656934306, 0.5498783454987834, 0.5571776155717761, 0.5255474452554745, 0.5182481751824818, 0.5279805352798054, 0.5255474452554745, 0.5206812652068127];[223.98288869857788, 223.9683222770691, 223.99446845054626, 223.96827006340027, 223.98396730422974, 223.94150948524475, 223.96814560890198, 223.94412875175476, 223.99551796913147, 223.96560621261597]
WLKernel;{'pretty_name': 'NCI-109'};NCI-109;0.5317191283292978;0.029019347731871457;233.18825776576995;0.022788396946610775;[0.5665859564164649, 0.5447941888619855, 0.5569007263922519, 0.5544794188861986, 0.5181598062953995, 0.5569007263922519, 0.513317191283293, 0.4648910411622276, 0.5181598062953995, 0.5230024213075061];[233.15057826042175, 233.2126202583313, 233.2040946483612, 233.18837881088257, 233.17101621627808, 233.1523139476776, 233.17803359031677, 233.20830917358398, 233.21007323265076, 233.20715951919556]
WLKernel;{'pretty_name': 'PTC-MM'};PTC-MM;0.6382352941176472;0.029558457709179097;1.520341157913208;0.00014477811903205922;[0.6176470588235294, 0.6176470588235294, 0.7058823529411765, 0.6176470588235294, 0.6176470588235294, 0.6176470588235294, 0.6764705882352942, 0.6470588235294118, 0.6176470588235294, 0.6470588235294118];[1.5205011367797852, 1.520317554473877, 1.5202958583831787, 1.5205097198486328, 1.5202736854553223, 1.5205841064453125, 1.5203022956848145, 1.5200731754302979, 1.520214319229126, 1.5203397274017334]
WLKernel;{'pretty_name': 'PTC-FM'};PTC-FM;0.6;0.031298431857438073;1.670231246948242;0.00010251090652687411;[0.6, 0.6285714285714286, 0.6, 0.6285714285714286, 0.6285714285714286, 0.6285714285714286, 0.6, 0.6, 0.5428571428571428, 0.5428571428571428];[1.67024827003479, 1.6703197956085205, 1.670175313949585, 1.6701617240905762, 1.6703028678894043, 1.670271635055542, 1.6704328060150146, 1.6700434684753418, 1.670159101486206, 1.6701974868774414]
WLKernel;{'pretty_name': 'PTC-MR'};PTC-MR;0.5771428571428571;0.027994168488950616;1.8182996749877929;0.0001523273150431008;[0.6, 0.5714285714285714, 0.5714285714285714, 0.6, 0.5714285714285714, 0.5428571428571428, 0.5142857142857142, 0.6, 0.6, 0.6];[1.8182668685913086, 1.818315029144287, 1.8183181285858154, 1.8184573650360107, 1.8183045387268066, 1.8183705806732178, 1.8183917999267578, 1.8185102939605713, 1.8180718421936035, 1.8179903030395508]
WLKernel;{'pretty_name': 'PTC-FR'};PTC-FR;0.6527777777777777;0.013888888888888897;1.7338661193847655;9.287884548844572e-05;[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6388888888888888, 0.6388888888888888, 0.6666666666666666, 0.6666666666666666, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888];[1.7336888313293457, 1.7338643074035645, 1.7337169647216797, 1.7338898181915283, 1.7339551448822021, 1.733992099761963, 1.7339277267456055, 1.7338299751281738, 1.733875036239624, 1.7339212894439697]
WLKernel;{};PROTEINS;0.6116071428571428;0.01453466124651759;17.155149340629578;0.00023382404852301735;[0.5892857142857143, 0.6160714285714286, 0.5982142857142857, 0.6071428571428571, 0.625, 0.625, 0.6160714285714286, 0.6160714285714286, 0.5892857142857143, 0.6339285714285714];[17.154983520507812, 17.155089855194092, 17.155369758605957, 17.155136823654175, 17.155595779418945, 17.15526533126831, 17.15485119819641, 17.15476369857788, 17.155277729034424, 17.15515971183777]
GCNWithSum;{};MUTAG;0.8631578981876373;0.04823762917340274;7.920130658149719;0.31188732697770616;[0.7894737124443054, 0.8947368264198303, 0.7894737124443054, 0.8421052694320679, 0.8947368264198303, 0.8947368264198303, 0.9473684430122375, 0.8947368264198303, 0.8421052694320679, 0.8421052694320679];[7.310861110687256, 7.6658172607421875, 7.6465818881988525, 7.716996908187866, 7.983280181884766, 7.932483911514282, 8.124720335006714, 8.26627230644226, 8.280906438827515, 8.273386240005493]
GCNWithSum;{'pretty_name': 'NCI-1'};NCI-1;0.7215555548667908;0.03370239959025065;839.0758548498154;44.63123225164648;[0.7266666624281142, 0.764444437291887, 0.7688888841205173, 0.7200000021192763, 0.7044444415304396, 0.7244444489479065, 0.6422222256660461, 0.7422222296396891, 0.7088888883590698, 0.7133333285649618];[750.9032945632935, 839.5566146373749, 885.4743528366089, 883.8923864364624, 838.1743330955505, 780.8344748020172, 806.6764001846313, 880.3266923427582, 881.7684366703033, 843.1515629291534]
GCNWithSum;{'pretty_name': 'NCI-109'};NCI-109;0.7322222219573127;0.029334169121839004;876.476194524765;19.038081972455455;[0.7599999970859952, 0.7599999970859952, 0.7577777703603109, 0.6755555669466654, 0.7200000021192763, 0.7222222222222222, 0.735555562708113, 0.773333317703671, 0.7177777820163302, 0.7000000013245476];[821.6658592224121, 882.5153164863586, 882.549544095993, 891.1123206615448, 883.6605792045593, 892.14879322052, 873.2689571380615, 880.1054129600525, 879.4149601459503, 878.3202021121979]
