dataset;pretty_name;preprocessA;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
MUTAG;MUTAG;;50;0.8339181303977966;0.10640809096341775;7.935179448127746;0.4651194433889513;[0.949999988079071, 0.699999988079071, 0.8500000238418579, 0.9473684430122375, 0.9473684430122375, 0.8333333134651184, 0.8333333134651184, 0.6111111044883728, 0.7777777910232544, 0.8888888955116272];[7.283388376235962, 7.32857871055603, 7.530278444290161, 7.651125907897949, 8.042994499206543, 7.839818477630615, 8.257141828536987, 8.198651790618896, 8.713880777359009, 8.505935668945312]
PTC_MM;PTC-MM;;50;0.6342524617910386;0.0705777383458237;11.781639814376831;0.3693778071802571;[0.6470588445663452, 0.5588235259056091, 0.6764705777168274, 0.6470588445663452, 0.47058823704719543, 0.7058823704719543, 0.6470588445663452, 0.7272727489471436, 0.6060606241226196, 0.65625];[11.286627054214478, 11.183511018753052, 11.425302505493164, 11.703240394592285, 11.669652700424194, 11.91182565689087, 12.042041540145874, 12.272525548934937, 12.19713044166565, 12.124541282653809]
PTC_MR;PTC-MR;;50;0.554738575220108;0.0691207433150634;11.558612942695618;0.45442696199908555;[0.6388888955116272, 0.5555555820465088, 0.5, 0.44117647409439087, 0.5882353186607361, 0.5588235259056091, 0.5882353186607361, 0.44117647409439087, 0.5882353186607361, 0.6470588445663452];[10.92051076889038, 10.991208553314209, 11.107374429702759, 11.46327805519104, 11.536320209503174, 11.43687391281128, 11.891263008117676, 11.764419317245483, 12.366413354873657, 12.108467817306519]
PTC_FM;PTC-FM;;50;0.6127497732639313;0.05110851147591844;11.593491888046264;0.42787525175232294;[0.6388888955116272, 0.6388888955116272, 0.5833333134651184, 0.7142857313156128, 0.5714285969734192, 0.6571428775787354, 0.6176470518112183, 0.6176470518112183, 0.529411792755127, 0.5588235259056091];[11.099852561950684, 11.000634670257568, 11.089871406555176, 11.355660438537598, 11.561250686645508, 11.597614526748657, 11.953167200088501, 11.918804407119751, 12.220571517944336, 12.137491464614868]
PTC_FR;PTC-FR;;50;0.6496031939983368;0.0401139230721103;11.484548330307007;0.42091509652034226;[0.6388888955116272, 0.6571428775787354, 0.6857143044471741, 0.7142857313156128, 0.6571428775787354, 0.6285714507102966, 0.5714285969734192, 0.6000000238418579, 0.6857143044471741, 0.6571428775787354];[10.950738430023193, 11.056582927703857, 10.975720167160034, 11.280922889709473, 11.357455968856812, 11.456231355667114, 11.821718215942383, 11.688673973083496, 12.15107774734497, 12.106361627578735]
NCI1;NCI-1;;50;0.7233333329359691;0.031493675618375024;134.0850187778473;0.4588751840656193;[0.7155555552906461, 0.6555555595291985, 0.7288888891537985, 0.7222222222222222, 0.7733333243264092, 0.7288888891537985, 0.7377777761883206, 0.7044444415304396, 0.7022222346729703, 0.764444437291887];[133.7088122367859, 133.80986499786377, 133.9284291267395, 133.40808820724487, 133.89901638031006, 133.89978170394897, 134.13159680366516, 134.38326168060303, 134.61304187774658, 135.06829476356506]
NCI109;NCI-109;;50;0.7008888920148213;0.03981686187554863;133.80409495830537;0.5936304863948905;[0.6288888918028938, 0.7555555568801032, 0.7177777820163302, 0.7133333351877, 0.6555555661519369, 0.7200000087420145, 0.6577777862548828, 0.7466666566001045, 0.6866666674613953, 0.7266666690508524];[133.56246328353882, 133.1645085811615, 133.24960899353027, 133.43277883529663, 133.25834703445435, 133.70643424987793, 133.71057319641113, 134.35703825950623, 134.85984253883362, 134.73935461044312]
PROTEINS;PROTEINS;;50;0.7340000013510386;0.03620313330222101;2962.171460008621;962.8746016751876;[0.6800000071525574, 0.6933333277702332, 0.746666669845581, 0.7866666714350382, 0.7400000095367432, 0.6799999872843424, 0.7733333309491476, 0.7333333293596903, 0.7400000095367432, 0.7666666706403097];[1089.3969168663025, 1088.603285074234, 2774.6792805194855, 3480.9731919765472, 3540.4425666332245, 3552.1544132232666, 3486.4780962467194, 3501.316520214081, 3528.93381857872, 3578.7365107536316]
ENZYMES;ENZYMES;;50;0.2810000002384186;0.047212290748090434;120.26265580654145;63.55318965769509;[0.2499999925494194, 0.22999999672174454, 0.21000000089406967, 0.3500000089406967, 0.27000000327825546, 0.25999999046325684, 0.3400000035762787, 0.3500000089406967, 0.26999999582767487, 0.2800000011920929];[77.20554423332214, 203.42945408821106, 40.0256884098053, 185.30705165863037, 95.641428232193, 107.74255108833313, 173.08465838432312, 41.521536350250244, 211.6874876022339, 66.98115801811218]
